epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,34802.3,0.78257,0.64262,1.09792,0.66075,0.62053,0.64302,0.43816,1.13219,1.16254,1.40948,0.0006734,0.0006734,0.0006734
69,35309.5,0.7698,0.62947,1.08485,0.63552,0.6572,0.64441,0.43748,1.13378,1.18042,1.40448,0.0006536,0.0006536,0.0006536
70,35819.9,0.75533,0.61062,1.08091,0.6873,0.59733,0.65563,0.4464,1.128,1.16772,1.41014,0.0006338,0.0006338,0.0006338
71,36334.1,0.75651,0.60781,1.079,0.67946,0.61595,0.64916,0.44211,1.13395,1.1656,1.41335,0.000614,0.000614,0.000614
72,36843.1,0.74694,0.59535,1.07196,0.66364,0.62391,0.64748,0.44235,1.12672,1.1662,1.40568,0.0005942,0.0005942,0.0005942
73,37351.6,0.73366,0.58677,1.06612,0.69612,0.59946,0.65131,0.44934,1.12634,1.16181,1.40396,0.0005744,0.0005744,0.0005744
74,37863.5,0.72375,0.57016,1.05761,0.6695,0.64024,0.65987,0.45228,1.13374,1.1685,1.41578,0.0005546,0.0005546,0.0005546
75,38375.2,0.72775,0.56534,1.05828,0.66699,0.65124,0.66029,0.45197,1.12223,1.15226,1.40324,0.0005348,0.0005348,0.0005348
76,38882.4,0.71583,0.55579,1.05407,0.67409,0.63199,0.65897,0.45426,1.12456,1.15445,1.40903,0.000515,0.000515,0.000515
77,39397.9,0.70558,0.54812,1.04762,0.66228,0.63566,0.66036,0.45618,1.11988,1.15328,1.40985,0.0004952,0.0004952,0.0004952
78,39911.5,0.70009,0.54418,1.04075,0.64797,0.65629,0.6602,0.45604,1.12289,1.14689,1.42173,0.0004754,0.0004754,0.0004754
79,40418.2,0.69664,0.53329,1.04214,0.65054,0.63902,0.65232,0.45304,1.12295,1.16409,1.41513,0.0004556,0.0004556,0.0004556
80,40927.7,0.68695,0.52349,1.03277,0.65411,0.63703,0.64736,0.44684,1.13836,1.18329,1.43246,0.0004358,0.0004358,0.0004358
81,41435.5,0.67728,0.51063,1.02628,0.70608,0.60816,0.64974,0.44982,1.14009,1.17754,1.43978,0.000416,0.000416,0.000416
82,41941.2,0.67434,0.50926,1.02524,0.68788,0.61137,0.64984,0.44914,1.13723,1.18923,1.43375,0.0003962,0.0003962,0.0003962
83,42447.7,0.66603,0.49345,1.01873,0.7104,0.59808,0.65249,0.45221,1.13154,1.18258,1.43053,0.0003764,0.0003764,0.0003764
84,42957.4,0.66039,0.48594,1.02189,0.69481,0.60724,0.65105,0.4508,1.13803,1.18572,1.43952,0.0003566,0.0003566,0.0003566
85,43465.5,0.65015,0.47504,1.00822,0.67377,0.62328,0.6505,0.45119,1.13965,1.1889,1.44028,0.0003368,0.0003368,0.0003368
86,43973.2,0.64716,0.47899,1.00685,0.65863,0.64299,0.6555,0.45438,1.13678,1.17974,1.44219,0.000317,0.000317,0.000317
87,44483.1,0.64025,0.46875,1.0041,0.70419,0.60441,0.64949,0.45005,1.14089,1.18516,1.45218,0.0002972,0.0002972,0.0002972
88,44993.7,0.63563,0.46689,1.00281,0.68099,0.62007,0.64909,0.4512,1.1448,1.1856,1.4587,0.0002774,0.0002774,0.0002774
89,45501.4,0.63095,0.45802,0.99849,0.66429,0.63932,0.65367,0.45598,1.14361,1.18802,1.45961,0.0002576,0.0002576,0.0002576
90,46010.7,0.62272,0.45374,0.99252,0.69404,0.61959,0.65093,0.45272,1.14241,1.19521,1.46253,0.0002378,0.0002378,0.0002378
91,46525.3,0.61575,0.44476,0.99115,0.72588,0.59221,0.65059,0.4501,1.14762,1.19516,1.47056,0.000218,0.000218,0.000218
92,47034,0.60983,0.43602,0.98517,0.71069,0.60403,0.6496,0.45162,1.14513,1.19516,1.46667,0.0001982,0.0001982,0.0001982
93,47542.1,0.60507,0.43084,0.97927,0.70668,0.61182,0.64949,0.4529,1.14691,1.2041,1.46872,0.0001784,0.0001784,0.0001784
94,48051.2,0.59995,0.42748,0.98215,0.69952,0.61348,0.64734,0.45038,1.15329,1.2105,1.47565,0.0001586,0.0001586,0.0001586
95,48559,0.59645,0.4263,0.9765,0.68597,0.61567,0.64885,0.45154,1.15247,1.20943,1.48045,0.0001388,0.0001388,0.0001388
96,49068.5,0.59074,0.42292,0.97705,0.69615,0.61045,0.64784,0.4516,1.15345,1.20749,1.48588,0.000119,0.000119,0.000119
97,49576.9,0.58579,0.41626,0.97431,0.68185,0.62174,0.64937,0.45316,1.15419,1.20292,1.48582,9.92e-05,9.92e-05,9.92e-05
98,50086.2,0.58591,0.41611,0.97578,0.67227,0.63336,0.64962,0.45372,1.15379,1.20537,1.48502,7.94e-05,7.94e-05,7.94e-05
99,50593.4,0.58167,0.41078,0.96903,0.67953,0.62389,0.65101,0.4547,1.15203,1.21329,1.48218,5.96e-05,5.96e-05,5.96e-05
100,51101.1,0.57583,0.40651,0.9684,0.67704,0.62603,0.6501,0.45456,1.15249,1.21589,1.48634,3.98e-05,3.98e-05,3.98e-05
